ID,Geogname,County,Gender,Age,All Cancers,Head and Neck,Lip,Tongue,"Mouth, Other",Pharynx and Tonsil,Paranasal Sinuses,Larynx,Gastro - Intestinal,Esophagus,Stomach,Small Bowel,Colon and Rectum,Liver and Biliary Tract,Pancreas,Peritoneum and GI Unspecified,Respiratory,"Lung,Trachea and Bronchus","Mediastinum, Pleura",Breast,Breast2,Skin and Melanoma,Melanoma of Skin,Other Skin,Gynecological,Cervix,Body of Uterus,Ovary,Other Female Genital,Genito - Urinary,Testis,Penis and Male Genital Unspecified,Bladder,"Kidney, Ureter and Other Urinary",Lymphomas,Non-Hodgkin's Lymphoma,Hodgkin's Lymphoma,Hematologic,Multiple Myeloma,Leukemia,Miscellaneous Proliferative,Other,Eye and Lacrimal Gland,Brain,"Meninges, Spinal Cord and other CNS",Thyroid,Other Endocrine,Bone and Connective Tissue,Other and Ill Defined Sites,Unknown Primary,Prostate
1,Shelburne County,Shelburne,Female,0 - 19,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0
2,Shelburne County,Shelburne,Female,20 - 34,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4,0,0,0,0,0,0,0,0,0
3,Shelburne County,Shelburne,Female,35 - 64,374.9,7.8,0,0,0,0,0,0,23.4,0,0,0,0,0,0,0,23.4,0,0,101.5,0,7.8,0,0,93.7,0,0,0,0,54.7,0,0,0,0,7.8,0,0,7.8,0,0,0,46.9,0,0,0,0,0,0,0,0,0
4,Shelburne County,Shelburne,Female,65 -74,1074,0,0,0,0,0,0,0,167.1,0,0,0,0,0,0,0,95.5,0,0,405.7,0,23.9,0,0,167.1,0,0,0,0,0,0,0,0,0,71.6,0,0,47.7,0,0,0,95.5,0,0,0,0,0,0,0,0,0
5,Shelburne County,Shelburne,Female,75 +,1876.8,14.3,0,0,0,0,0,0,573.1,0,0,0,0,0,0,0,243.6,0,0,530.1,0,0,0,0,143.3,0,0,0,0,100.3,0,0,0,0,100.3,0,0,86,0,0,0,86,0,0,0,0,0,0,0,0,0
6,Shelburne County,Shelburne,Female,Total,407.4,2.9,0,0,0,0,0,0,79.7,0,0,0,0,0,0,0,43.4,0,0,121.6,0,3.9,0,0,55.9,0,0,0,0,23.8,0,0,0,0,19.8,0,0,14.6,0,0,0,41.8,0,0,0,0,0,0,0,0,0
7,Shelburne County,Shelburne,Male,0 - 19,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Shelburne County,Shelburne,Male,20 - 34,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,0,0,0,0,0,0,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0
9,Shelburne County,Shelburne,Male,35 - 64,178.8,7.5,0,0,0,0,0,0,37.3,0,0,0,0,0,0,0,44.7,0,0,0,0,14.9,0,0,0,0,0,0,0,44.7,0,0,0,0,0,0,0,7.5,0,0,0,22.4,0,0,0,0,0,0,0,0,0
10,Shelburne County,Shelburne,Male,65 -74,1404.7,66.9,0,0,0,0,0,0,289.9,0,0,0,0,0,0,0,379,0,0,0,0,22.3,0,0,0,0,0,0,0,445.9,0,0,0,0,44.6,0,0,22.3,0,0,0,133.8,0,0,0,0,0,0,0,0,0
