ComID,GeogName,Year,DataGroup1,DataGroup2,All Cancers,Head and Neck,Lip,Tongue,"Mouth, Other",Pharynx and Tonsil,Paranasal Sinuses,Larynx,Gastro - Intestinal,Esophagus,Stomach,Small Bowel,Colon and Rectum,Liver and Biliary Tract,Pancreas,Peritoneum and GI Unspecified,Respiratory,"Lung,Trachea and Bronchus","Mediastinum, Pleura",Breast,Skin and Melanoma,Melanoma of Skin,Other Skin,Gynecological,Cervix,Body of Uterus,Ovary,Other Female Genital,Genito - Urinary,Testis,Penis and Male Genital Unspecified,Bladder,"Kidney, Ureter and Other Urinary",Lymphomas,Non-Hodgkins Lymphoma,Hodgkins Lymphoma,Hematologic,Multiple Myeloma,Leukemia,Miscellaneous Proliferative,Other,Eye and Lacrimal Gland,Brain,"Meninges, Spinal Cord and other CNS",Thyroid,Other Endocrine,Bone and Connective Tissue,Other and Ill Defined Sites,Unknown Primary,Prostate
cnt1206,Lunenburg County,2002-2006,Female,0-19,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1207,Kings County,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1208,Hants County,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1209,Halifax County,2002-2006,Female,0-19,35,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,5,,,5,,,,15,,,,,,,,,
cnt1210,Colchester County,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1211,Cumberland County,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1212,Pictou County,2002-2006,Female,0-19,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
pro9012,Nova Scotia,2002-2006,Male,35-64,1830,135,20,20,25,50,5,20,395,20,45,10,255,25,35,0,200,195,5,5,150,0,0,0,0,0,0,0,515,55,5,40,125,160,135,25,90,15,55,25,180,5,55,5,40,0,15,10,45,290
cnt1213,Guysborough County,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1214,Antigonish County,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1215,Inverness County,2002-2006,Female,0-19,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1217,Cape Breton County,2002-2006,Female,0-19,10,0,,,,,,,5,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,5,,,,0,,,,,,,,,
dha1,South Shore Health,2002-2006,Female,0-19,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
dha2,South West Health,2002-2006,Female,0-19,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
dha3,Annapolis Valley Health,2002-2006,Female,0-19,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
pro9012,Nova Scotia,2004-2008,Male,65-74,3650,185,10,45,25,45,10,45,790,60,80,10,510,60,75,0,535,525,5,10,150,0,0,0,0,0,0,0,1485,0,10,105,170,135,130,10,150,40,75,35,215,10,60,0,30,0,20,10,75,1195
dha4,Colchester East Hants Health Authority,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
dha5,Cumberland Health Authority,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
dha6,Pictou County Health Authority,2002-2006,Female,0-19,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
dha7,Guysborough Antigonish Strait Health Authority,2002-2006,Female,0-19,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
dha8,Cape Breton District Health Authority,2002-2006,Female,0-19,15,0,,,,,,,5,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,5,,,,5,,,,,,,,,
dha9,Capital Health,2002-2006,Female,0-19,35,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,5,,,10,,,,15,,,,,,,,,
pro9012,Nova Scotia,2002-2006,Female,0-19,75,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,15,0,10,20,0,20,0,30,5,10,0,5,0,5,0,0,0
cnt1201,Shelburne County,2002-2006,Female,20-34,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1202,Yarmouth County,2002-2006,Female,20-34,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1203,Digby County,2002-2006,Female,20-34,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1204,Queens County,2002-2006,Female,20-34,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1205,Annapolis County,2002-2006,Female,20-34,10,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1206,Lunenburg County,2002-2006,Female,20-34,10,0,,,,,,,0,,,,,,,,0,,,5,0,,,0,,,,,0,,,,,5,,,0,,,,5,,,,,,,,,
cnt1207,Kings County,2002-2006,Female,20-34,15,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1208,Hants County,2002-2006,Female,20-34,15,0,,,,,,,0,,,,,,,,0,,,0,0,,,5,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
pro9012,Nova Scotia,2006-2010,Total,65-74,6805,260,5,65,40,75,10,55,1315,90,100,20,850,105,125,25,975,960,20,940,305,0,0,375,35,230,80,25,1710,5,15,135,305,285,255,25,230,65,125,40,410,15,95,0,125,5,30,20,125,1250
cnt1209,Halifax County,2002-2006,Female,20-34,130,0,,,,,,,10,,,,,,,,0,,,15,20,,,25,,,,,0,,,,,25,,,5,,,,25,,,,,,,,,
cnt1210,Colchester County,2002-2006,Female,20-34,15,0,,,,,,,0,,,,,,,,0,,,5,5,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1211,Cumberland County,2002-2006,Female,20-34,10,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1212,Pictou County,2002-2006,Female,20-34,10,0,,,,,,,0,,,,,,,,0,,,0,0,,,5,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1213,Guysborough County,2002-2006,Female,20-34,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1214,Antigonish County,2002-2006,Female,20-34,10,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,10,,,,,,,,,
cnt1215,Inverness County,2002-2006,Female,20-34,10,0,,,,,,,0,,,,,,,,0,,,0,5,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1216,Richmond County,2002-2006,Female,20-34,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1217,Cape Breton County,2002-2006,Female,20-34,20,0,,,,,,,0,,,,,,,,0,,,5,0,,,5,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1218,Victoria County,2002-2006,Female,20-34,5,0,,,,,,,0,,,,,,,,0,,,0,0,,,5,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
dha1,South Shore Health,2002-2006,Female,20-34,15,0,,,,,,,0,,,,,,,,0,,,5,0,,,0,,,,,0,,,,,5,,,0,,,,10,,,,,,,,,
dha2,South West Health,2002-2006,Female,20-34,15,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
dha3,Annapolis Valley Health,2002-2006,Female,20-34,25,0,,,,,,,0,,,,,,,,0,,,0,0,,,5,,,,,0,,,,,5,,,0,,,,10,,,,,,,,,
dha4,Colchester East Hants Health Authority,2002-2006,Female,20-34,25,0,,,,,,,0,,,,,,,,0,,,5,5,,,5,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
dha5,Cumberland Health Authority,2002-2006,Female,20-34,10,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
dha6,Pictou County Health Authority,2002-2006,Female,20-34,10,0,,,,,,,0,,,,,,,,0,,,0,0,,,5,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
dha7,Guysborough Antigonish Strait Health Authority,2002-2006,Female,20-34,20,0,,,,,,,0,,,,,,,,0,,,0,5,,,0,,,,,0,,,,,5,,,0,,,,10,,,,,,,,,
dha8,Cape Breton District Health Authority,2002-2006,Female,20-34,30,0,,,,,,,0,,,,,,,,0,,,5,0,,,10,,,,,0,,,,,5,,,0,,,,10,,,,,,,,,
dha9,Capital Health,2002-2006,Female,20-34,135,0,,,,,,,10,,,,,,,,0,,,20,20,,,25,,,,,0,,,,,25,,,10,,,,25,,,,,,,,,
pro9012,Nova Scotia,2002-2006,Female,20-34,285,0,0,0,0,0,0,0,15,0,0,0,10,0,0,0,5,5,0,35,35,0,0,55,45,5,5,0,5,0,0,0,5,45,15,30,15,0,10,5,80,0,10,0,55,0,10,0,5,0
cnt1201,Shelburne County,2002-2006,Female,35-64,50,0,,,,,,,5,,,,,,,,10,,,15,0,,,10,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1202,Yarmouth County,2002-2006,Female,35-64,65,0,,,,,,,15,,,,,,,,10,,,20,5,,,10,,,,,5,,,,,0,,,0,,,,0,,,,,,,,,
cnt1203,Digby County,2002-2006,Female,35-64,50,0,,,,,,,5,,,,,,,,10,,,15,5,,,5,,,,,0,,,,,5,,,0,,,,0,,,,,,,,,
cnt1204,Queens County,2002-2006,Female,35-64,35,5,,,,,,,5,,,,,,,,5,,,15,0,,,5,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
cnt1205,Annapolis County,2002-2006,Female,35-64,60,0,,,,,,,5,,,,,,,,5,,,30,0,,,5,,,,,0,,,,,5,,,5,,,,5,,,,,,,,,
cnt1206,Lunenburg County,2002-2006,Female,35-64,140,0,,,,,,,15,,,,,,,,5,,,55,5,,,20,,,,,5,,,,,5,,,5,,,,25,,,,,,,,,
cnt1207,Kings County,2002-2006,Female,35-64,170,0,,,,,,,15,,,,,,,,20,,,60,20,,,25,,,,,10,,,,,10,,,0,,,,10,,,,,,,,,
cnt1208,Hants County,2002-2006,Female,35-64,120,0,,,,,,,10,,,,,,,,10,,,45,5,,,15,,,,,0,,,,,10,,,5,,,,15,,,,,,,,,
cnt1209,Halifax County,2002-2006,Female,35-64,1030,10,,,,,,,115,,,,,,,,85,,,425,75,,,135,,,,,30,,,,,40,,,15,,,,95,,,,,,,,,
cnt1210,Colchester County,2002-2006,Female,35-64,125,0,,,,,,,10,,,,,,,,10,,,50,10,,,20,,,,,5,,,,,5,,,5,,,,10,,,,,,,,,
cnt1211,Cumberland County,2002-2006,Female,35-64,95,5,,,,,,,10,,,,,,,,5,,,30,5,,,15,,,,,0,,,,,10,,,0,,,,10,,,,,,,,,
cnt1212,Pictou County,2002-2006,Female,35-64,125,5,,,,,,,10,,,,,,,,10,,,45,10,,,15,,,,,5,,,,,5,,,10,,,,15,,,,,,,,,
cnt1213,Guysborough County,2002-2006,Female,35-64,15,0,,,,,,,0,,,,,,,,0,,,5,0,,,5,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1214,Antigonish County,2002-2006,Female,35-64,55,0,,,,,,,5,,,,,,,,5,,,25,0,,,5,,,,,0,,,,,5,,,0,,,,5,,,,,,,,,
cnt1215,Inverness County,2002-2006,Female,35-64,60,0,,,,,,,10,,,,,,,,5,,,25,5,,,10,,,,,0,,,,,0,,,0,,,,5,,,,,,,,,
