ComID,GeogName,Year,DataGroup1,DataGroup2,All Cancers,Head and Neck,Lip,Tongue,"Mouth, Other",Pharynx and Tonsil,Paranasal Sinuses,Larynx,Gastro - Intestinal,Esophagus,Stomach,Small Bowel,Colon and Rectum,Liver and Biliary Tract,Pancreas,Peritoneum and GI Unspecified,Respiratory,"Lung,Trachea and Bronchus","Mediastinum, Pleura",Breast,Skin and Melanoma,Melanoma of Skin,Other Skin,Gynecological,Cervix,Body of Uterus,Ovary,Other Female Genital,Genito - Urinary,Testis,Penis and Male Genital Unspecified,Bladder,"Kidney, Ureter and Other Urinary",Lymphomas,Non-Hodgkins Lymphoma,Hodgkins Lymphoma,Hematologic,Multiple Myeloma,Leukemia,Miscellaneous Proliferative,Other,Eye and Lacrimal Gland,Brain,"Meninges, Spinal Cord and other CNS",Thyroid,Other Endocrine,Bone and Connective Tissue,Other and Ill Defined Sites,Unknown Primary,Prostate
cnt1201,Shelburne County,2002-2006,Female,0-19,10.8166576527853,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,10.8166576527853,,,,,,,,,
cnt1202,Yarmouth County,2002-2006,Female,0-19,12.2399020807834,0,,,,,,,6.11995104039168,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,6.11995104039168,,,,,,,,,
cnt1203,Digby County,2002-2006,Female,0-19,9.78473581213307,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,9.78473581213307,,,,,,,,,
cnt1204,Queens County,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1205,Annapolis County,2002-2006,Female,0-19,17.8332590280874,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,17.8332590280874,,,,,,,,,
cnt1206,Lunenburg County,2002-2006,Female,0-19,16.8208578637511,0,,,,,,,0,,,,,,,,0,,,0,4.20521446593776,,,0,,,,,0,,,,,4.20521446593776,,,4.20521446593776,,,,4.20521446593776,,,,,,,,,
cnt1207,Kings County,2002-2006,Female,0-19,5.32410488486623,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,2.66205244243312,,,2.66205244243312,,,,0,,,,,,,,,
cnt1208,Hants County,2002-2006,Female,0-19,7.60890241582652,0,,,,,,,0,,,,,,,,0,,,0,0,,,3.80445120791326,,,,,0,,,,,0,,,0,,,,3.80445120791326,,,,,,,,,
cnt1209,Halifax County,2002-2006,Female,0-19,15.7091043500358,0.924064961766812,,,,,,,0,,,,,,,,0,,,0,0.924064961766812,,,0,,,,,0.924064961766812,,,,,2.77219488530044,,,3.23422736618384,,,,6.93048721325109,,,,,,,,,
cnt1210,Colchester County,2002-2006,Female,0-19,6.64451827242525,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,6.64451827242525,,,,,,,,,
cnt1211,Cumberland County,2002-2006,Female,0-19,11.4481969089868,0,,,,,,,5.72409845449342,,,,,,,,0,,,0,0,,,0,,,,,5.72409845449342,,,,,0,,,0,,,,0,,,,,,,,,
cnt1212,Pictou County,2002-2006,Female,0-19,18.4467810367091,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,3.68935620734182,,,7.37871241468364,,,,7.37871241468364,,,,,,,,,
cnt1213,Guysborough County,2002-2006,Female,0-19,21.505376344086,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,21.505376344086,,,0,,,,0,,,,,,,,,
cnt1214,Antigonish County,2002-2006,Female,0-19,7.52445447705041,0,,,,,,,7.52445447705041,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1215,Inverness County,2002-2006,Female,0-19,49.5049504950495,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,8.25082508250825,,,8.25082508250825,,,,33.003300330033,,,,,,,,,
cnt1216,Richmond County,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1217,Cape Breton County,2002-2006,Female,0-19,17.1473109898675,0,,,,,,,4.67653936087295,,,,,,,,0,,,0,0,,,1.55884645362432,,,,,0,,,,,3.11769290724864,,,7.79423226812159,,,,0,,,,,,,,,
cnt1218,Victoria County,2002-2006,Female,0-19,0,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
dha1,South Shore Health,2002-2006,Female,0-19,13.3266699983342,0,,,,,,,0,,,,,,,,0,,,0,3.33166749958354,,,0,,,,,0,,,,,3.33166749958354,,,3.33166749958354,,,,3.33166749958354,,,,,,,,,
dha2,South West Health,2002-2006,Female,0-19,11.1716240748499,0,,,,,,,2.79290601871247,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,8.37871805613741,,,,,,,,,
dha3,Annapolis Valley Health,2002-2006,Female,0-19,8.20008200082001,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,2.050020500205,,,2.050020500205,,,,4.10004100041,,,,,,,,,
dha4,Colchester East Hants Health Authority,2002-2006,Female,0-19,4.63553134778074,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,4.63553134778074,,,,,,,,,
dha5,Cumberland Health Authority,2002-2006,Female,0-19,11.4481969089868,0,,,,,,,5.72409845449342,,,,,,,,0,,,0,0,,,0,,,,,5.72409845449342,,,,,0,,,0,,,,0,,,,,,,,,
dha6,Pictou County Health Authority,2002-2006,Female,0-19,18.4467810367091,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,3.68935620734182,,,7.37871241468364,,,,7.37871241468364,,,,,,,,,
dha7,Guysborough Antigonish Strait Health Authority,2002-2006,Female,0-19,17.76514478593,0,,,,,,,3.553028957186,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,7.106057914372,,,3.553028957186,,,,3.553028957186,,,,,,,,,
dha8,Cape Breton District Health Authority,2002-2006,Female,0-19,18.3751148444678,0,,,,,,,3.93752460952881,,,,,,,,0,,,0,0,,,1.31250820317627,,,,,0,,,,,2.62501640635254,,,6.56254101588135,,,,3.93752460952881,,,,,,,,,
dha9,Capital Health,2002-2006,Female,0-19,16.1097202568847,0.870795689561337,,,,,,,0,,,,,,,,0,,,0,0.870795689561337,,,0.435397844780668,,,,,0.870795689561337,,,,,2.61238706868401,,,3.48318275824535,,,,6.96636551649069,,,,,,,,,
pro9012,Nova Scotia,2002-2006,Female,0-19,14.3568325471258,0.372904741483788,0,0,0.2,0,0.2,0,1.11871422445136,0,0,0.2,0.2,0.7,0,0,0,0,0,0,0.559357112225682,0,0,0.372904741483788,0,0,0.2,0.2,0.559357112225682,0,0,0,0.6,2.42388081964462,0.2,2.2,3.35614267335409,0,3.4,0,5.59357112225682,0.6,2.1,0.4,0.7,0.4,1.1,0.4,0,0
cnt1201,Shelburne County,2002-2006,Female,20-34,71.0227272727273,0,,,,,,,0,,,,,,,,0,,,0,14.2045454545455,,,0,,,,,0,,,,,0,,,14.2045454545455,,,,42.6136363636364,,,,,,,,,
cnt1202,Yarmouth County,2002-2006,Female,20-34,41.7362270450751,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,16.6944908180301,,,0,,,,25.0417362270451,,,,,,,,,
cnt1203,Digby County,2002-2006,Female,20-34,48.9596083231334,0,,,,,,,0,,,,,,,,0,,,12.2399020807834,12.2399020807834,,,12.2399020807834,,,,,0,,,,,0,,,12.2399020807834,,,,0,,,,,,,,,
cnt1204,Queens County,2002-2006,Female,20-34,106.044538706257,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,0,,,,,0,,,0,,,,106.044538706257,,,,,,,,,
cnt1205,Annapolis County,2002-2006,Female,20-34,136.81592039801,0,,,,,,,12.4378109452736,,,,,,,,0,,,12.4378109452736,0,,,24.8756218905473,,,,,0,,,,,12.4378109452736,,,12.4378109452736,,,,62.1890547263682,,,,,,,,,
cnt1206,Lunenburg County,2002-2006,Female,20-34,59.7176981541802,0,,,,,,,0,,,,,,,,0,,,16.2866449511401,0,,,5.42888165038002,,,,,0,,,,,16.2866449511401,,,5.42888165038002,,,,16.2866449511401,,,,,,,,,
cnt1207,Kings County,2002-2006,Female,20-34,48.3181564764914,3.71678126742241,,,,,,,3.71678126742241,,,,,,,,0,,,3.71678126742241,3.71678126742241,,,3.71678126742241,,,,,0,,,,,7.43356253484482,,,0,,,,22.3006876045345,,,,,,,,,
cnt1208,Hants County,2002-2006,Female,20-34,74.290262669143,0,,,,,,,5.30644733351021,,,,,,,,0,,,5.30644733351021,10.6128946670204,,,26.5322366675511,,,,,0,,,,,5.30644733351021,,,5.30644733351021,,,,15.9193420005306,,,,,,,,,
cnt1209,Halifax County,2002-2006,Female,20-34,57.8727252175879,0.452130665762405,,,,,,,3.61704532609924,,,,,,,,0.904261331524811,,,7.68622131796089,8.1383519837233,,,10.8511359782977,,,,,0.904261331524811,,,,,10.3990053125353,,,3.16491466033684,,,,11.7553973098225,,,,,,,,,
cnt1210,Colchester County,2002-2006,Female,20-34,56.4481111593574,0,,,,,,,4.34216239687364,,,,,,,,0,,,17.3686495874946,13.0264871906209,,,4.34216239687364,,,,,0,,,,,4.34216239687364,,,0,,,,13.0264871906209,,,,,,,,,
cnt1211,Cumberland County,2002-2006,Female,20-34,70.2028081123245,0,,,,,,,0,,,,,,,,0,,,7.8003120124805,7.8003120124805,,,7.8003120124805,,,,,7.8003120124805,,,,,7.8003120124805,,,0,,,,31.201248049922,,,,,,,,,
cnt1212,Pictou County,2002-2006,Female,20-34,54.0662311331381,0,,,,,,,0,,,,,,,,4.50551926109484,,,4.50551926109484,4.50551926109484,,,18.0220770443794,,,,,4.50551926109484,,,,,4.50551926109484,,,0,,,,13.5165577832845,,,,,,,,,
cnt1213,Guysborough County,2002-2006,Female,20-34,93.8967136150235,0,,,,,,,0,,,,,,,,0,,,0,0,,,31.2989045383412,,,,,0,,,,,31.2989045383412,,,0,,,,31.2989045383412,,,,,,,,,
cnt1214,Antigonish County,2002-2006,Female,20-34,118.854673149649,0,,,,,,,0,,,,,,,,0,,,0,0,,,0,,,,,10.8049702863317,,,,,21.6099405726634,,,0,,,,86.4397622906537,,,,,,,,,
cnt1215,Inverness County,2002-2006,Female,20-34,130.874479476502,0,,,,,,,11.8976799524093,,,,,,,,0,,,11.8976799524093,35.6930398572278,,,23.7953599048186,,,,,0,,,,,23.7953599048186,,,11.8976799524093,,,,11.8976799524093,,,,,,,,,
cnt1216,Richmond County,2002-2006,Female,20-34,75.3768844221106,0,,,,,,,0,,,,,,,,0,,,0,50.251256281407,,,25.1256281407035,,,,,0,,,,,0,,,0,,,,0,,,,,,,,,
cnt1217,Cape Breton County,2002-2006,Female,20-34,39.7822445561139,0,,,,,,,2.09380234505863,,,,,,,,0,,,6.28140703517588,0,,,10.4690117252931,,,,,2.09380234505863,,,,,4.18760469011725,,,0,,,,14.6566164154104,,,,,,,,,
cnt1218,Victoria County,2002-2006,Female,20-34,124.031007751938,0,,,,,,,0,,,,,,,,0,,,0,0,,,93.0232558139535,,,,,0,,,,,31.0077519379845,,,0,,,,0,,,,,,,,,
dha1,South Shore Health,2002-2006,Female,20-34,69.1592824724443,0,,,,,,,0,,,,,,,,0,,,12.9673654635833,0,,,4.32245515452777,,,,,0,,,,,12.9673654635833,,,4.32245515452777,,,,34.5796412362222,,,,,,,,,
dha2,South West Health,2002-2006,Female,20-34,51.4895182052225,0,,,,,,,0,,,,,,,,0,,,3.67782272894446,7.35564545788893,,,3.67782272894446,,,,,0,,,,,7.35564545788893,,,7.35564545788893,,,,22.0669363736668,,,,,,,,,
dha3,Annapolis Valley Health,2002-2006,Female,20-34,68.6793532694234,2.86163971955931,,,,,,,5.72327943911862,,,,,,,,0,,,5.72327943911862,2.86163971955931,,,8.58491915867792,,,,,0,,,,,8.58491915867792,,,2.86163971955931,,,,31.4780369151524,,,,,,,,,
dha4,Colchester East Hants Health Authority,2002-2006,Female,20-34,71.4618611154264,0,,,,,,,6.2140748796023,,,,,,,,0,,,12.4281497592046,15.5351871990057,,,12.4281497592046,,,,,0,,,,,6.2140748796023,,,3.10703743980115,,,,15.5351871990057,,,,,,,,,
dha5,Cumberland Health Authority,2002-2006,Female,20-34,70.2028081123245,0,,,,,,,0,,,,,,,,0,,,7.8003120124805,7.8003120124805,,,7.8003120124805,,,,,7.8003120124805,,,,,7.8003120124805,,,0,,,,31.201248049922,,,,,,,,,
dha6,Pictou County Health Authority,2002-2006,Female,20-34,54.0662311331381,0,,,,,,,0,,,,,,,,4.50551926109484,,,4.50551926109484,4.50551926109484,,,18.0220770443794,,,,,4.50551926109484,,,,,4.50551926109484,,,0,,,,13.5165577832845,,,,,,,,,
dha7,Guysborough Antigonish Strait Health Authority,2002-2006,Female,20-34,99.5767986059248,0,,,,,,,4.97883993029624,,,,,,,,0,,,0,19.915359721185,,,9.95767986059248,,,,,4.97883993029624,,,,,14.9365197908887,,,0,,,,44.8095593726662,,,,,,,,,
dha8,Cape Breton District Health Authority,2002-2006,Female,20-34,55.6203462815107,0,,,,,,,1.79420471875841,,,,,,,,0,,,7.17681887503364,1.79420471875841,,,17.9420471875841,,,,,1.79420471875841,,,,,8.97102359379205,,,1.79420471875841,,,,14.3536377500673,,,,,,,,,
dha9,Capital Health,2002-2006,Female,20-34,57.6094254217833,0.433153574599874,,,,,,,3.46522859679899,,,,,,,,0.866307149199749,,,7.79676434279774,7.79676434279774,,,11.2619929395967,,,,,0.866307149199749,,,,,9.96253221579711,,,3.46522859679899,,,,11.6951465141966,,,,,,,,,
pro9012,Nova Scotia,2002-2006,Female,20-34,61.852751249578,0.435582755278719,0,0.2,0,0,0.2,0,3.04907928695103,0,0,0.2,2.6,0,0.2,0,0.653374132918078,0.7,0,7.40490683973821,7.18711546209886,0,0,11.542943014886,9.8,0.7,0.7,0.4,1.30674826583616,0,0,0,1.3,9.36502923849245,3.3,6.1,3.04907928695103,0.2,2.2,0.7,17.8588929664275,0.4,2.4,0.2,11.8,0,1.7,0.4,0.9,0
cnt1201,Shelburne County,2002-2006,Female,35-64,396.510705789056,7.93021411578113,,,,,,,39.6510705789056,,,,,,,,63.441712926249,,,111.022997620936,15.8604282315623,,,71.3719270420301,,,,,7.93021411578113,,,,,15.8604282315623,,,7.93021411578113,,,,55.5114988104679,,,,,,,,,
cnt1202,Yarmouth County,2002-2006,Female,35-64,317.234848484849,9.46969696969697,,,,,,,66.2878787878788,,,,,,,,52.0833333333333,,,89.9621212121212,14.2045454545455,,,47.3484848484849,,,,,14.2045454545455,,,,,9.46969696969697,,,9.46969696969697,,,,4.73484848484848,,,,,,,,,
cnt1203,Digby County,2002-2006,Female,35-64,332.409972299169,13.8504155124654,,,,,,,41.5512465373961,,,,,,,,55.4016620498615,,,96.9529085872576,48.4764542936288,,,20.7756232686981,,,,,0,,,,,41.5512465373961,,,0,,,,13.8504155124654,,,,,,,,,
cnt1204,Queens County,2002-2006,Female,35-64,402.909904868495,44.7677672076105,,,,,,,33.5758254057079,,,,,,,,33.5758254057079,,,179.071068830442,11.1919418019026,,,33.5758254057079,,,,,11.1919418019026,,,,,11.1919418019026,,,11.1919418019026,,,,33.5758254057079,,,,,,,,,
